[2018-10-19T23:32:17-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-20T02:40:19-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-20T02:40:19-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-20T13:04:21-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-20T13:04:21-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-20T16:20:05-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-20T16:20:05-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-20T16:28:50-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-20T16:28:50-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-20T22:18:47-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-20T22:18:47-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
