[2018-10-20T22:44:38-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2018-10-20T22:45:44-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-20T23:08:49-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2018-10-20T23:09:53-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-20T23:37:40-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-21T04:26:19-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-21T04:26:19-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-21T13:46:31-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-21T13:46:31-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-21T13:56:35-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-21T13:56:35-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-21T14:10:16-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-21T14:10:16-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-22T00:36:47-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-22T00:36:47-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-22T10:22:10-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-22T10:22:10-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-22T23:01:16-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-22T23:01:17-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-23T01:10:23-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-23T01:10:23-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-23T11:15:35-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-23T11:15:35-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-23T13:08:19-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-23T13:08:19-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-23T16:10:54-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-23T16:10:54-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-24T00:30:01-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-24T00:30:01-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
